"segment_id","forecast_month","gross_recovery_for_month"
"prime_q3",32,"4583.32883373470000"
"prime_q3",33,"4755.07978094580000"
"prime_q3",34,"4878.62841416880000"
"prime_q3",35,"4988.11764177490000"
"prime_q3",36,"5050.45397345350000"
"prime_q3",37,"5093.43417977700000"
"prime_q3",38,"5134.62744714500000"
"prime_q3",39,"5072.84524870650000"
"prime_q3",40,"5061.50582972580000"
"prime_q3",41,"5015.34049857740000"
"prime_q3",42,"4950.75072953760000"
"prime_q3",43,"4909.19821728800000"
"prime_q3",44,"4843.91215896750000"
"prime_q3",45,"4780.88671101760000"
"prime_q3",46,"4701.00405482760000"
"prime_q3",47,"4641.82460712000000"
"prime_q3",48,"4580.54537495100000"
"prime_q3",49,"4511.89172619460000"
"prime_q3",50,"4481.02414751880000"
"prime_q3",51,"4424.48952472320000"
"prime_q3",52,"4365.86304083000000"
"prime_q3",53,"4317.40979455650000"
"prime_q3",54,"4269.18653223040000"
"prime_q3",55,"4233.83268366850000"
"prime_q3",56,"4195.84240032930000"
"prime_q3",57,"4147.85527152000000"
"prime_q3",58,"4129.52080515000000"
"prime_q3",59,"4113.22638043400000"
"prime_q3",60,"4098.35490911940000"
"prime_q3",61,"4147.24942344640000"
"prime_q3",62,"4138.56422264760000"
"prime_q3",63,"4152.89590828420000"
"prime_q3",64,"4167.49555290200000"
"prime_q3",65,"4183.37623800930000"
"prime_q3",66,"4198.97298157920000"
"prime_q3",67,"4202.78124394050000"
"prime_q3",68,"4252.32735218630000"
"prime_q3",69,"4264.37329588870000"
"prime_q3",70,"4329.89324568240000"
"prime_q3",71,"4385.43055476000000"
"prime_q3",72,"4339.24290810780000"
"prime_q3",73,"4332.79057109800000"
"prime_q3",74,"4282.42181207200000"
"prime_q3",75,"4254.82750280770000"
"prime_q3",76,"4206.78869987840000"
"prime_q3",77,"4157.87811613500000"
"prime_q3",78,"4115.03644774040000"
"prime_q3",79,"4065.75193595010000"
"prime_q3",80,"4010.97010852560000"
"prime_q3",81,"3959.01253579900000"
"prime_q3",82,"3918.73448855200000"
"prime_q3",83,"3860.64460259380000"
"prime_q3",84,"3794.24952686640000"
"prime_q4",10,"568.28486388540000"
"prime_q4",11,"2029.13431925380000"
"prime_q4",12,"3683.90809577400000"
"prime_q4",13,"4944.30915036420000"
"prime_q4",14,"5922.11568445380000"
"prime_q4",15,"6687.45210116100000"
"prime_q4",16,"7553.93770361400000"
"prime_q4",17,"8339.24712557770000"
"prime_q4",18,"8764.01071588800000"
"prime_q4",19,"9090.45266475430000"
"prime_q4",20,"9924.49184820660000"
"prime_q4",21,"10281.38076733500000"
"prime_q4",22,"10851.90350652030000"
"prime_q4",23,"11372.85250804800000"
"prime_q4",24,"11515.61340838140000"
"prime_q4",25,"11838.85115680080000"
"prime_q4",26,"11928.01022995260000"
"prime_q4",27,"12038.17953922650000"
"prime_q4",28,"12079.72850167800000"
"prime_q4",29,"12051.72550010090000"
"prime_q4",30,"12054.97205748720000"
"prime_q4",31,"11877.20591983330000"
"prime_q4",32,"11861.14469619170000"
"prime_q4",33,"11758.24964856060000"
"prime_q4",34,"11539.38579965220000"
"prime_q4",35,"11329.98041823520000"
"prime_q4",36,"11121.59638185100000"
"prime_q4",37,"10901.37967758300000"
"prime_q4",38,"10733.16402063500000"
"prime_q4",39,"10566.32663153160000"
"prime_q4",40,"10360.06791863160000"
"prime_q4",41,"10176.83361819820000"
"prime_q4",42,"10007.68869885680000"
"prime_q4",43,"9835.76888004000000"
"prime_q4",44,"9670.95875026110000"
"prime_q4",45,"9543.88082481630000"
"prime_q4",46,"9361.86033269760000"
"prime_q4",47,"9209.91146976000000"
"prime_q4",48,"9094.77916503520000"
"prime_q4",49,"8958.76800575720000"
"prime_q4",50,"8823.73659307140000"
"prime_q4",51,"8763.39594063360000"
"prime_q4",52,"8700.56819742760000"
"prime_q4",53,"8623.10328193360000"
"prime_q4",54,"8560.01357275680000"
"prime_q4",55,"8436.18906270910000"
"prime_q4",56,"8399.21344084620000"
"prime_q4",57,"8316.63106948700000"
"prime_q4",58,"8281.16919380400000"
"prime_q4",59,"8291.04583445690000"
"prime_q4",60,"8340.67464786480000"
"prime_q4",61,"8464.46775498520000"
"prime_q4",62,"8525.45453971630000"
"prime_q4",63,"8744.18012454140000"
"prime_q4",64,"8954.69605580000000"
"prime_q4",65,"8998.11258648270000"
"prime_q4",66,"9161.34798265580000"
"prime_q4",67,"9428.43483965580000"
"prime_q4",68,"9656.79178805420000"
"prime_q4",69,"9922.63975594480000"
"prime_q4",70,"10245.43968331760000"
"prime_q4",71,"10512.15384942000000"
"prime_q4",72,"10616.40735133410000"
"prime_q4",73,"10820.92282838600000"
"prime_q4",74,"11072.95018237600000"
"prime_q4",75,"11142.63137112970000"
"prime_q4",76,"11186.90776177120000"
"prime_q4",77,"11282.35882282500000"
"prime_q4",78,"11254.93673700610000"
"prime_q4",79,"11405.09894968190000"
"prime_q4",80,"11294.09059361880000"
"prime_q4",81,"11344.16597765260000"
"prime_q4",82,"11452.56196556000000"
"prime_q4",83,"11373.22254175320000"
"prime_q4",84,"11271.12609862960000"
"subprime_q1",11,"1.17052357120000"
"subprime_q1",12,"1.37301110360000"
"subprime_q1",13,"1.34582587560000"
"subprime_q1",14,"4.89728921220000"
"subprime_q1",15,"10.72685960380000"
"subprime_q1",16,"13.92331628400000"
"subprime_q1",17,"13.90183610720000"
"subprime_q1",18,"13.62659041640000"
"subprime_q1",19,"17.18108790500000"
"subprime_q1",20,"21.03788594880000"
"subprime_q1",21,"24.47294310490000"
"subprime_q1",22,"24.32300360150000"
"subprime_q1",23,"29.49041249010000"
"subprime_q1",24,"41.90852989050000"
"subprime_q1",25,"55.09483186360000"
"subprime_q1",26,"57.73153046240000"
"subprime_q1",27,"59.74749279190000"
"subprime_q1",28,"66.47451805320000"
"subprime_q1",29,"65.15802677070000"
"subprime_q1",30,"76.88852148750000"
"subprime_q1",31,"80.21252707620000"
"subprime_q1",32,"87.07385641990000"
"subprime_q1",33,"85.34985871270000"
"subprime_q1",34,"83.65971345090000"
"subprime_q1",35,"89.46084051020000"
"subprime_q1",36,"95.16741503750000"
"subprime_q1",37,"96.39948264360000"
"subprime_q1",38,"99.21163818450000"
"subprime_q1",39,"103.22877203600000"
"subprime_q1",40,"109.65097045280000"
"subprime_q1",41,"114.15231715340000"
"subprime_q1",42,"120.88216733800000"
"subprime_q1",43,"126.87921593800000"
"subprime_q1",44,"131.07455507740000"
"subprime_q1",45,"137.32311572560000"
"subprime_q1",46,"142.86130613280000"
"subprime_q1",47,"153.48940420090000"
"subprime_q1",48,"159.99647088620000"
"subprime_q1",49,"178.23892247200000"
"subprime_q1",50,"192.35727098240000"
"subprime_q1",51,"222.04036664260000"
"subprime_q1",52,"245.14620849600000"
"subprime_q1",53,"272.03839228980000"
"subprime_q1",54,"283.09073881600000"
"subprime_q1",55,"298.58285879800000"
"subprime_q1",56,"316.50055312320000"
"subprime_q1",57,"341.31331120800000"
"subprime_q1",58,"383.58291689220000"
